Seq ID	Type
fosA2|ARO_3002804	Fcyn_acquired
fosA3|ARO_3002872	Fcyn_acquired
fosA4|ARO_3003210	Fcyn_acquired
fosA7|ARO_3004113	Fcyn_acquired
fosA7.5|ARO_3005162	Fcyn_acquired
fosB|ARO_3004661	Fcyn_acquired
fosB|ARO_3000172	Fcyn_acquired
fosB1|ARO_3004670	Fcyn_acquired
fosB3|ARO_3002873	Fcyn_acquired
fosB4|ARO_3004671	Fcyn_acquired
fosB5|ARO_3004672	Fcyn_acquired
fosB6|ARO_3004673	Fcyn_acquired
fosB2|ARO_3005100	Fcyn_acquired
fosC|ARO_3000380	Fcyn_acquired
fosC2|ARO_3002874	Fcyn_acquired
fosD|ARO_3004674	Fcyn_acquired
fosK|ARO_3003207	Fcyn_acquired
fosX|ARG_AP010904	Fcyn_acquired
fosX|ARO_3000198	Fcyn_acquired
fosL1|ARO_3005024	Fcyn_acquired
